time,latitude,longitude,altitude,travelstate
1364901653,43.6963055,-72.2833205,0,stationary
1364902853,43.6963055,-72.2833205,0,moving
1364904056,43.6741506,-72.3146651,0,
1364905253,43.7028502,-72.311393,0,moving
1364906453,43.7028415,-72.311379,0,moving
1364907653,43.702802,-72.3112521,0,stationary
1364908853,43.7028675,-72.3115329,0,stationary
1364910053,43.702847,-72.3114999,0,stationary
1364911253,43.7029143,-72.311628,0,stationary
1364912453,43.7028227,-72.3113027,0,stationary
1364913653,43.7028306,-72.3113134,0,stationary
1364914853,43.7028285,-72.3113086,0,stationary
1364916053,43.7028285,-72.3113086,0,stationary
1364917253,43.7027996,-72.3112341,0,stationary
1364918453,43.7027704,-72.3112278,0,stationary
1364919653,43.7028322,-72.3112834,0,stationary
1364920853,43.7028278,-72.3113952,0,stationary
1364922053,43.7028173,-72.3112897,0,stationary
1364923253,43.7028006,-72.3112357,0,stationary
1364924453,43.7028264,-72.3112766,0,stationary
1364925653,43.7028312,-72.3112924,0,stationary
1364926858,43.64517111,-72.34052885,170.8000031,
1364928053,43.6493706,-72.3111962,0,moving
1364929253,43.6499672,-72.3122793,0,moving
1364930453,43.6486161,-72.3122468,0,stationary
1364931653,43.6454631,-72.3229948,0,stationary
1364932853,43.6454631,-72.3229948,0,stationary
1364934053,43.6454631,-72.3229948,0,stationary
1364935253,43.6454631,-72.3229948,0,stationary
1364936455,43.6454631,-72.3229948,0,moving
1364936462,43.6485319,-72.3186984,0,moving
1364938853,43.6963055,-72.2833205,0,moving
1364940053,43.6963055,-72.2833205,0,moving
1364941253,43.6963055,-72.2833205,0,stationary
1364942453,43.6963055,-72.2833205,0,stationary
1364943653,43.6963055,-72.2833205,0,stationary
1364944844,43.76697264,-72.32407882,293.5,
1364945984,43.7876539,-72.32242229,391.2000122,
1364947253,43.6961182,-72.2973562,0,moving
1364947273,43.6961182,-72.2973562,0,moving
1364949653,43.6963055,-72.2833205,0,moving
1364950853,43.6963055,-72.2833205,0,moving
1364952053,43.6963055,-72.2833205,0,stationary
1364953253,43.6963055,-72.2833205,0,stationary
1364953258,43.6963055,-72.2833205,0,stationary
1364956853,43.7019414,-72.2950994,0,stationary
1364958053,43.7019414,-72.2950994,0,stationary
1364959203,43.75923744,-72.32900625,268,
1364960167,43.75903302,-72.32884309,272.5,
1364961653,43.6963055,-72.2833205,0,stationary
1364962853,43.6963055,-72.2833205,0,stationary
1364964053,43.6963055,-72.2833205,0,moving
1364965253,43.6924962,-72.2775549,0,stationary
1364966453,43.7591347,-72.3292414,0,moving
1364967653,43.7591342,-72.3292413,0,stationary
1364968853,43.7591327,-72.3292374,0,stationary
1364970053,43.7591341,-72.3292415,0,stationary
1364971253,43.7591341,-72.3292415,0,stationary
1364972453,43.7591353,-72.3292415,0,stationary
1364973653,43.7591341,-72.3292415,0,stationary
1364974853,43.7591313,-72.3292337,0,stationary
1364976053,43.7591313,-72.3292337,0,stationary
1364977253,43.7591353,-72.3292415,0,stationary
1364978453,43.7591353,-72.3292415,0,stationary
1364979653,43.7591313,-72.3292337,0,stationary
1364980853,43.7591313,-72.3292337,0,stationary
1364982053,43.7591313,-72.3292337,0,stationary
1364983253,43.7591313,-72.3292337,0,stationary
1364984453,43.7591313,-72.3292337,0,stationary
1364985653,43.7591347,-72.3292414,0,stationary
1364986853,43.7591327,-72.3292374,0,stationary
1364988053,43.7591327,-72.3292374,0,stationary
1364989253,43.6963097,-72.2833072,0,moving
1364990453,43.7051088,-72.2884609,0,moving
1364991653,43.7067246,-72.2872801,0,moving
1364992853,43.7067349,-72.2873059,0,stationary
1364994053,43.706704,-72.2872605,0,stationary
1364995253,43.7066969,-72.2873126,0,stationary
1364996453,43.7067072,-72.2872896,0,stationary
1364997653,43.7088011,-72.2842761,0,moving
1364998853,43.7087353,-72.2840977,0,moving
1365000053,43.7086706,-72.2839964,0,stationary
1365001253,43.7086705,-72.2838927,0,stationary
1365002453,43.7064351,-72.2868029,0,moving
1365003653,43.6996986,-72.2892231,0,moving
1365004853,43.6995736,-72.2894397,0,moving
1365006053,43.6997216,-72.2891131,0,stationary
1365007253,43.7041677,-72.2885399,0,moving
1365008453,43.705025,-72.2888035,0,moving
1365009653,43.7049991,-72.2888159,0,moving
1365010853,43.7072639,-72.2866348,0,moving
1365012053,43.7090544,-72.2840598,0,moving
1365013253,43.709017,-72.2840413,0,moving
1365014453,43.7091138,-72.2838986,0,stationary
1365015653,43.7090561,-72.28403,0,stationary
1365016853,43.7067106,-72.2873035,0,moving
1365018053,43.7067187,-72.2872801,0,moving
1365019253,43.7067084,-72.2872367,0,stationary
1365020453,43.7051046,-72.2879681,0,moving
1365021653,43.7065949,-72.2869941,0,moving
1365022853,43.7067112,-72.2872948,0,moving
1365024053,43.7067306,-72.2872913,0,stationary
1365025253,43.7067598,-72.2873168,0,stationary
1365026453,43.7066975,-72.287262,0,stationary
1365027653,43.702052,-72.2894867,0,moving
1365028853,43.7020288,-72.2895007,0,stationary
1365030053,43.7020605,-72.2895234,0,stationary
1365031253,43.7021254,-72.289471,0,stationary
1365032453,43.702143,-72.287978,0,moving
1365033653,43.6657206,-72.3137773,0,moving
1365034853,43.7591354,-72.329236,0,moving
1365036053,43.7591375,-72.3292411,0,moving
1365037253,43.7591375,-72.3292411,0,stationary
1365038453,43.7591327,-72.3292422,0,stationary
1365039653,43.7591375,-72.3292411,0,stationary
1365040853,43.7591375,-72.3292411,0,stationary
1365042053,43.7591375,-72.3292411,0,stationary
1365043253,43.7591375,-72.3292411,0,stationary
1365044453,43.7591375,-72.3292411,0,stationary
1365045653,43.7591375,-72.3292411,0,stationary
1365046853,43.7591375,-72.3292411,0,stationary
1365048053,43.7591375,-72.3292411,0,stationary
1365049253,43.7591375,-72.3292411,0,stationary
1365050453,43.7591375,-72.3292411,0,stationary
1365051653,43.7591375,-72.3292411,0,stationary
1365052853,43.7591375,-72.3292411,0,stationary
1365054053,43.7591317,-72.3292376,0,stationary
1365055253,43.7591317,-72.3292376,0,stationary
1365056453,43.7591317,-72.3292376,0,stationary
1365057653,43.7591317,-72.3292376,0,stationary
1365058853,43.7591317,-72.3292376,0,stationary
1365060053,43.7591317,-72.3292376,0,stationary
1365061253,43.7591317,-72.3292376,0,stationary
1365062453,43.7591317,-72.3292376,0,stationary
1365063653,43.7591317,-72.3292376,0,stationary
1365064853,43.7591317,-72.3292376,0,stationary
1365066053,43.7591317,-72.3292376,0,stationary
1365067253,43.7591317,-72.3292376,0,stationary
1365068453,43.7591317,-72.3292376,0,stationary
1365069653,43.7591317,-72.3292376,0,stationary
1365070853,43.7591317,-72.3292376,0,stationary
1365072053,43.7591317,-72.3292376,0,stationary
1365073253,43.7591361,-72.3292438,0,stationary
1365074453,43.7591354,-72.329236,0,stationary
1365075653,43.6959094,-72.2884594,0,stationary
1365076853,43.7056508,-72.2890669,0,moving
1365078053,43.7050777,-72.2886058,0,moving
1365079253,43.7050298,-72.2880597,0,moving
1365080453,43.7050527,-72.2879852,0,stationary
1365081653,43.7050747,-72.2882641,0,stationary
1365082853,43.7050359,-72.2886882,0,moving
1365084053,43.7049917,-72.2887873,0,moving
1365085253,43.7050173,-72.2886199,0,moving
1365086453,43.7050467,-72.2882433,0,moving
1365087653,43.7051163,-72.2880571,0,moving
1365088853,43.7051566,-72.2882188,0,moving
1365090053,43.7052,-72.2881872,0,stationary
1365091253,43.7081096,-72.2844613,0,moving
1365092453,43.7088156,-72.2840214,0,stationary
1365093653,43.7087057,-72.2837697,0,stationary
1365094853,43.7087833,-72.2839944,0,stationary
1365096053,43.7067287,-72.2873102,0,moving
1365097253,43.7066504,-72.2871903,0,moving
1365098454,43.7022856,-72.2890827,0,moving
1365099653,43.6996486,-72.2893418,0,moving
1365100853,43.699739,-72.2890594,0,moving
1365102053,43.6995324,-72.289297,0,moving
1365103253,43.7031662,-72.2946466,0,moving
1365104453,43.7043363,-72.2947605,0,moving
1365105653,43.7065876,-72.2869745,0,moving
1365106853,43.7066038,-72.2870457,0,moving
1365108053,43.7067124,-72.2872874,0,moving
1365109253,43.7067244,-72.2873262,0,stationary
1365110445,43.7067029,-72.2872803,0,stationary
1365111653,43.7067162,-72.287329,0,stationary
1365112853,43.7067033,-72.2873044,0,stationary
1365114053,43.7067222,-72.2873282,0,stationary
1365115253,43.7067353,-72.2873061,0,stationary
